store,week,category,subcategory,unit,consumption,waste,consumption_with_waste
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Syrups,Coconut Syrup,pump,53.0,0.0,53.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Syrups,Dragon Fruit Syrup,pump,21.0,0.0,21.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Syrups,Sweetner syrup (optional),pump,97.0,0.0,97.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Syrups,Syrup (Customer's Choice),pump,88.0,0.0,88.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Syrups,Syrup (Optional),pump,1958.0,0.0,1958.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Coffee,,g,26625.0,1863.7500000000002,28488.75
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Coffee,,ml,71456.326,5001.94282,76458.26882
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Coconut Cold Foam,ml,1626.5425,113.85797500000001,1740.400475
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Cold Cappuccino Foam,ml,59.147,4.14029,63.28729
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Cold Milk,ml,38918.726,2724.3108200000006,41643.03682
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Cream Base,g,14.0,0.9800000000000001,14.98
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Greek Yogurt,g,15.0,1.05,16.05
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Milk,ml,85940.591,6015.841370000001,91956.43237
